time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
11953.0,"(253.90909781844027, 470.40897654178497)","(339.1370321959345, 257.879704369306)","(1138.4929218082973, 309.2720967926216)","(1080.3539829720446, 267.81884731994535)","(575.5633838236571, 329.1386012172439)","(1346.8574991272853, 805.5915908803798)","(463.3144046658567, 503.63050450232686)","(830.6912393073098, 594.7472072315433)","(886.8327611281826, 396.6375725334261)","(1089.743581803452, 932.6962452669478)"
11954.0,"(253.75955232934808, 470.521931659076)","(338.98303599847185, 257.68276485786396)","(1138.2914916869956, 309.4201707816691)","(1080.162097348171, 267.9790968358593)","(575.6379044258135, 329.37723625208633)","(1347.0019608075095, 805.7956272078974)","(463.5572797829503, 503.5712450938181)","(830.7647304949423, 594.5082531662077)","(887.0827374264926, 396.6410149574602)","(1089.6698638944347, 932.7877640406131)"
11955.0,"(253.61075456770135, 470.6343220007806)","(338.8290398010092, 257.4858253464219)","(1138.0900615656942, 309.56824477071666)","(1079.9702117242975, 268.13934635177327)","(575.71242502797, 329.6158712869288)","(1347.1464224877334, 805.9996635354149)","(463.8001549000438, 503.51198568530936)","(830.8382216825748, 594.2692991008722)","(887.3327137248026, 396.6444573814943)","(1089.5965145749626, 932.87882522041)"
11956.0,"(253.46270079486285, 470.74615039077673)","(338.6750436035465, 257.28888583497985)","(1137.8886314443926, 309.7163187597642)","(1079.778326100424, 268.29959586768723)","(575.7869456301264, 329.8545063217712)","(1347.2908841679575, 806.2036998629325)","(464.04303001713737, 503.4527262768006)","(830.9117128702073, 594.0303450355367)","(887.5826900231126, 396.64789980552837)","(1089.523532002088, 932.969431094308)"
11957.0,"(253.31538729088854, 470.8574196388229)","(338.5210474060838, 257.0919463235378)","(1137.6872013230911, 309.8643927488117)","(1079.5864404765505, 268.4598453836012)","(575.8614662322829, 330.09314135661367)","(1347.4353458481814, 806.40773619045)","(464.2859051342309, 503.39346686829185)","(830.9852040578398, 593.7913909702012)","(887.8326663214226, 396.6513422295625)","(1089.4509143420776, 933.0595839388365)"
11958.0,"(253.1688103544341, 470.96813254062874)","(338.36705120862115, 256.89500681209574)","(1137.4857712017895, 310.01246673785926)","(1079.394554852677, 268.62009489951515)","(575.9359868344393, 330.3317763914561)","(1347.5798075284056, 806.6117725179676)","(464.52878025132446, 503.3342074597831)","(831.0586952454723, 593.5524369048657)","(888.0826426197326, 396.65478465359655)","(1089.3786597703672, 933.1492860191423)"
11959.0,"(253.02296630266193, 471.0782918779256)","(338.2130550111585, 256.6980673006537)","(1137.284341080488, 310.1605407269068)","(1079.2026692288034, 268.7803444154291)","(576.0105074365957, 330.57041142629856)","(1347.7242692086295, 806.8158088454851)","(464.771655368418, 503.27494805127435)","(831.1321864331048, 593.3134828395301)","(888.3326189180426, 396.65822707763067)","(1089.3067664715154, 933.2385395890466)"
11960.0,"(252.87785147114863, 471.187900418536)","(338.0590588136958, 256.50112778921164)","(1137.0829109591864, 310.3086147159543)","(1079.0107836049299, 268.9405939313431)","(576.0850280387522, 330.809046461141)","(1347.8687308888536, 807.0198451730026)","(465.01453048551156, 503.2156886427656)","(831.2056776207373, 593.0745287741946)","(888.5825952163526, 396.66166950166473)","(1089.2352326391579, 933.3273468911013)"
11961.0,"(252.73346221379288, 471.2969609164433)","(337.9050626162331, 256.3041882777696)","(1136.8814808378847, 310.45668870500185)","(1078.8188979810564, 269.10084344725703)","(576.1595486409086, 331.04768149598345)","(1348.0131925690775, 807.2238815005202)","(465.2574056026051, 503.15642923425685)","(831.2791688083698, 592.8355747088591)","(888.8325715146626, 396.66511192569885)","(1089.164056475962, 933.4157101566458)"
11962.0,"(252.58979490272392, 471.4054761118611)","(337.75106641877045, 256.10724876632753)","(1136.6800507165833, 310.6047626940494)","(1078.6270123571828, 269.261092963171)","(576.234069243065, 331.2863165308259)","(1348.1576542493017, 807.4279178280377)","(465.50028071969865, 503.0971698257481)","(831.3526599960023, 592.5966206435236)","(889.0825478129726, 396.6685543497329)","(1089.0932361935822, 933.5036316058626)"
