time,position 0,position 1,position 2
105.0,"(664.2933745025123, 765.5531624391333)","(266.26227631241056, 736.5815092487188)","(350.3588525133698, 245.63205901573482)"
106.0,"(664.543370345091, 765.5517206716999)","(266.4507476479925, 736.7457607499722)","(350.51054463036803, 245.43333935983588)"
107.0,"(664.7933661876698, 765.5502789042664)","(266.63921898357444, 736.9100122512256)","(350.66223674736625, 245.23461970393694)"
108.0,"(665.0433620302485, 765.548837136833)","(266.8276903191564, 737.0742637524789)","(350.81392886436447, 245.035900048038)"
109.0,"(665.2933578728273, 765.5473953693995)","(267.0161616547383, 737.2385152537323)","(350.9656209813627, 244.83718039213906)"
110.0,"(665.543353715406, 765.5459536019661)","(267.20463299032025, 737.4027667549857)","(351.1173130983609, 244.63846073624012)"
111.0,"(665.7933495579848, 765.5445118345326)","(267.3931043259022, 737.5670182562391)","(351.26900521535913, 244.43974108034118)"
112.0,"(666.0433454005636, 765.5430700670992)","(267.5815756614841, 737.7312697574924)","(351.42069733235735, 244.24102142444224)"
113.0,"(666.2933412431423, 765.5416282996657)","(267.77004699706606, 737.8955212587458)","(351.57238944935557, 244.0423017685433)"
114.0,"(666.5433370857211, 765.5401865322323)","(267.958518332648, 738.0597727599992)","(351.7240815663538, 243.84358211264436)"
115.0,"(666.7933329282998, 765.5387447647988)","(268.14698966822993, 738.2240242612526)","(351.875773683352, 243.64486245674541)"
116.0,"(667.0433287708786, 765.5373029973654)","(268.3354610038119, 738.3882757625059)","(352.0274658003502, 243.44614280084647)"
117.0,"(667.2933246134573, 765.5358612299319)","(268.5239323393938, 738.5525272637593)","(352.17915791734845, 243.24742314494753)"
118.0,"(667.5433204560361, 765.5344194624985)","(268.71240367497575, 738.7167787650127)","(352.33085003434667, 243.0487034890486)"
119.0,"(667.7933162986149, 765.532977695065)","(268.9008750105577, 738.8810302662661)","(352.4825421513449, 242.84998383314965)"
120.0,"(668.0433121411936, 765.5315359276316)","(269.0893463461396, 739.0452817675194)","(352.6342342683431, 242.6512641772507)"
121.0,"(668.2933079837724, 765.5300941601981)","(269.27781768172156, 739.2095332687728)","(352.7859263853413, 242.45254452135177)"
122.0,"(668.5433038263511, 765.5286523927647)","(269.4662890173035, 739.3737847700262)","(352.93761850233955, 242.25382486545283)"
123.0,"(668.7932996689299, 765.5272106253312)","(269.65476035288543, 739.5380362712796)","(353.08931061933777, 242.0551052095539)"
124.0,"(669.0432955115086, 765.5257688578978)","(269.84323168846737, 739.7022877725329)","(353.241002736336, 241.85638555365495)"
125.0,"(669.2932913540874, 765.5243270904643)","(270.0317030240493, 739.8665392737863)","(353.3926948533342, 241.657665897756)"
126.0,"(669.5432871966661, 765.5228853230309)","(270.22017435963124, 740.0307907750397)","(353.5443869703324, 241.45894624185706)"
127.0,"(669.7932830392449, 765.5214435555974)","(270.4086456952132, 740.1950422762931)","(353.69607908733065, 241.26022658595812)"
128.0,"(670.0432788818237, 765.520001788164)","(270.5971170307951, 740.3592937775464)","(353.84777120432886, 241.06150693005918)"
129.0,"(670.2932747244024, 765.5185600207305)","(270.78558836637706, 740.5235452787998)","(353.9994633213271, 240.8627872741602)"
130.0,"(670.5432705669812, 765.5171182532971)","(270.974059701959, 740.6877967800532)","(354.1511554383253, 240.66406761826127)"
131.0,"(670.7932664095599, 765.5156764858637)","(271.16253103754093, 740.8520482813066)","(354.3028475553235, 240.46534796236233)"
132.0,"(671.0432622521387, 765.5142347184302)","(271.35100237312287, 741.0162997825599)","(354.45453967232174, 240.26662830646336)"
133.0,"(671.2932580947174, 765.5127929509968)","(271.5394737087048, 741.1805512838133)","(354.60623178931996, 240.0679086505644)"
134.0,"(671.5432539372962, 765.5113511835633)","(271.72794504428674, 741.3448027850667)","(354.7579239063182, 239.86918899466545)"
135.0,"(671.7932497798749, 765.5099094161299)","(271.9164163798687, 741.5090542863201)","(354.9096160233164, 239.6704693387665)"
136.0,"(672.0432456224537, 765.5084676486964)","(272.1048877154506, 741.6733057875734)","(355.0613081403146, 239.47174968286754)"
137.0,"(672.2932414650325, 765.507025881263)","(272.29335905103255, 741.8375572888268)","(355.21300025731284, 239.27303002696857)"
138.0,"(672.5432373076112, 765.5055841138295)","(272.4818303866145, 742.0018087900802)","(355.36469237431106, 239.0743103710696)"
139.0,"(672.79323315019, 765.5041423463961)","(272.6703017221964, 742.1660602913336)","(355.5163844913093, 238.87559071517063)"
140.0,"(673.0432289927687, 765.5027005789626)","(272.85877305777836, 742.3303117925869)","(355.6680766083075, 238.67687105927166)"
141.0,"(673.2932248353475, 765.5012588115292)","(273.0472443933603, 742.4945632938403)","(355.8197687253057, 238.47815140337272)"
142.0,"(673.5432206779262, 765.4998170440957)","(273.23571572894224, 742.6588147950937)","(355.97146084230394, 238.27943174747378)"
143.0,"(673.793216520505, 765.4983752766623)","(273.4241870645242, 742.8230662963471)","(356.12315295930216, 238.0807120915748)"
144.0,"(674.0432123630837, 765.4969335092288)","(273.6126584001061, 742.9873177976004)","(356.2748450763004, 237.88199243567584)"
145.0,"(674.2932082056625, 765.4954917417954)","(273.80112973568805, 743.1515692988538)","(356.4265371932986, 237.6832727797769)"
146.0,"(674.5432040482413, 765.4940499743619)","(273.98960107127, 743.3158208001072)","(356.5782293102968, 237.48455312387796)"
147.0,"(674.79319989082, 765.4926082069285)","(274.1780724068519, 743.4800723013606)","(356.72992142729504, 237.285833467979)"
148.0,"(675.0431957333988, 765.491166439495)","(274.36654374243386, 743.6443238026139)","(356.88161354429326, 237.08711381208002)"
149.0,"(675.2931915759775, 765.4897246720616)","(274.5550150780158, 743.8085753038673)","(357.0333056612915, 236.88839415618105)"
150.0,"(675.5431874185563, 765.4882829046281)","(274.74348641359774, 743.9728268051207)","(357.1849977782897, 236.68967450028208)"
151.0,"(675.793183261135, 765.4868411371947)","(274.9319577491797, 744.1370783063741)","(357.3366898952879, 236.49095484438314)"
152.0,"(676.0431791037138, 765.4853993697612)","(275.1204290847616, 744.3013298076274)","(357.48838201228614, 236.2922351884842)"
153.0,"(676.2931749462925, 765.4839576023278)","(275.30890042034355, 744.4655813088808)","(357.64007412928436, 236.09351553258523)"
154.0,"(676.5431707888713, 765.4825158348943)","(275.4973717559255, 744.6298328101342)","(357.7917662462826, 235.89479587668626)"
155.0,"(676.79316663145, 765.4810740674609)","(275.6858430915074, 744.7940843113876)","(357.9434583632808, 235.6960762207873)"
156.0,"(677.0431624740288, 765.4796323000274)","(275.87431442708936, 744.9583358126409)","(358.095150480279, 235.49735656488835)"
157.0,"(677.2931583166076, 765.478190532594)","(276.0627857626713, 745.1225873138943)","(358.24684259727724, 235.2986369089894)"
158.0,"(677.5431541591863, 765.4767487651606)","(276.25125709825323, 745.2868388151477)","(358.39853471427546, 235.09991725309044)"
159.0,"(677.7931500017651, 765.4753069977271)","(276.43972843383517, 745.4510903164011)","(358.5502268312737, 234.90119759719147)"
160.0,"(678.0431458443438, 765.4738652302937)","(276.6281997694171, 745.6153418176544)","(358.7019189482719, 234.70247794129253)"
161.0,"(678.2931416869226, 765.4724234628602)","(276.81667110499905, 745.7795933189078)","(358.8536110652701, 234.5037582853936)"
162.0,"(678.5431375295013, 765.4709816954268)","(277.005142440581, 745.9438448201612)","(359.00530318226834, 234.30503862949462)"
163.0,"(678.7931333720801, 765.4695399279933)","(277.1936137761629, 746.1080963214146)","(359.15699529926655, 234.10631897359565)"
164.0,"(679.0431292146588, 765.4680981605599)","(277.38208511174486, 746.2723478226679)","(359.3086874162648, 233.9075993176967)"
165.0,"(679.2931250572376, 765.4666563931264)","(277.5705564473268, 746.4365993239213)","(359.460379533263, 233.70887966179777)"
166.0,"(679.5431208998164, 765.465214625693)","(277.75902778290873, 746.6008508251747)","(359.6120716502612, 233.5101600058988)"
167.0,"(679.7931167423951, 765.4637728582595)","(277.94749911849067, 746.7651023264281)","(359.76376376725943, 233.31144034999983)"
168.0,"(680.0431125849739, 765.4623310908261)","(278.1359704540726, 746.9293538276814)","(359.91545588425765, 233.11272069410086)"
169.0,"(680.2931084275526, 765.4608893233926)","(278.32444178965454, 747.0936053289348)","(360.0671480012559, 232.9140010382019)"
170.0,"(680.5431042701314, 765.4594475559592)","(278.5129131252365, 747.2578568301882)","(360.2188401182541, 232.71528138230292)"
171.0,"(680.7931001127101, 765.4580057885257)","(278.7013844608184, 747.4221083314416)","(360.3705322352523, 232.51656172640395)"
172.0,"(681.0430959552889, 765.4565640210923)","(278.88985579640035, 747.5863598326949)","(360.52222435225053, 232.31784207050498)"
173.0,"(681.2930917978676, 765.4551222536588)","(279.0783271319823, 747.7506113339483)","(360.67391646924875, 232.11912241460604)"
174.0,"(681.5430876404464, 765.4536804862254)","(279.26679846756423, 747.9148628352017)","(360.825608586247, 231.9204027587071)"
175.0,"(681.7930834830252, 765.4522387187919)","(279.45526980314617, 748.0791143364551)","(360.9773007032452, 231.72168310280813)"
176.0,"(682.0430793256039, 765.4507969513585)","(279.6437411387281, 748.2433658377084)","(361.1289928202434, 231.52296344690916)"
177.0,"(682.2930751681827, 765.449355183925)","(279.83221247431004, 748.4076173389618)","(361.28068493724163, 231.32424379101022)"
178.0,"(682.5430710107614, 765.4479134164916)","(280.020683809892, 748.5718688402152)","(361.43237705423985, 231.12552413511128)"
179.0,"(682.7930668533402, 765.4464716490581)","(280.2091551454739, 748.7361203414686)","(361.58406917123807, 230.9268044792123)"
180.0,"(683.0430626959189, 765.4450298816247)","(280.39762648105585, 748.9003718427219)","(361.7357612882363, 230.72808482331334)"
181.0,"(683.2930585384977, 765.4435881141912)","(280.5860978166378, 749.0646233439753)","(361.8874534052345, 230.5293651674144)"
182.0,"(683.5430543810764, 765.4421463467578)","(280.7745691522197, 749.2288748452287)","(362.03914552223273, 230.33064551151546)"
183.0,"(683.7930502236552, 765.4407045793243)","(280.96304048780166, 749.3931263464821)","(362.19083763923095, 230.1319258556165)"
184.0,"(684.043046066234, 765.4392628118909)","(281.1515118233836, 749.5573778477354)","(362.34252975622917, 229.93320619971752)"
