time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
1056.0,"(237.33892569588906, 213.74826258832093)","(1214.5681460897563, 355.03952255480175)","(1124.0725257060885, 467.9008936027787)","(1114.0694493551075, 116.89838196280328)","(231.79843683530726, 758.4607817948313)","(989.3778321767165, 896.1518710458034)","(269.657353619196, 278.4080937301496)","(776.9498884895936, 338.35186299074996)","(45.72188899129293, 186.65189814935331)","(1251.507853721414, 428.56315303374106)"
1057.0,"(237.55973065682562, 213.8655023820166)","(1214.350152891468, 355.1619111388283)","(1123.8336860914499, 467.97475589680806)","(1113.9042006631134, 116.7107843354348)","(231.85944465113073, 758.4334778858571)","(989.4259430158329, 896.1761116905744)","(269.8966862175944, 278.48034265639683)","(776.821857900784, 338.56659111729397)","(45.81635972475274, 186.8833614953059)","(1251.6572009813751, 428.7636409284931)"
1058.0,"(237.78053561776218, 213.98274217571225)","(1214.1321596931798, 355.2842997228549)","(1123.5948464768112, 468.04861819083743)","(1113.7389519711196, 116.5231867080663)","(231.92014742787507, 758.4063104964277)","(989.4738133007537, 896.2002311321215)","(270.13601881599277, 278.552591582644)","(776.6938273119745, 338.78131924383797)","(45.91083045821256, 187.1148248412585)","(1251.8065482413363, 428.9641288232451)"
1059.0,"(238.00134057869874, 214.0999819694079)","(1213.9141664948916, 355.40668830688145)","(1123.3560068621725, 468.1224804848668)","(1113.5737032791255, 116.33558908069782)","(231.98054669073568, 758.3792789439456)","(989.5214442342499, 896.224229976461)","(270.37535141439116, 278.6248405088913)","(776.5657967231649, 338.996047370382)","(46.00530119167237, 187.3462881872111)","(1251.9558955012974, 429.16461671799715)"
1060.0,"(238.2221455396353, 214.21722176310357)","(1213.6961732966033, 355.529076890908)","(1123.1171672475339, 468.19634277889617)","(1113.4084545871317, 116.14799145332933)","(232.040643957282, 758.3523825492258)","(989.5688370130787, 896.2481088265787)","(270.61468401278955, 278.6970894351385)","(776.4377661343553, 339.210775496926)","(46.09977192513219, 187.57775153316368)","(1252.1052427612585, 429.3651046127492)"
1061.0,"(238.44295050057187, 214.33446155679923)","(1213.478180098315, 355.6514654749346)","(1122.8783276328952, 468.27020507292553)","(1113.2432058951376, 115.96039382596084)","(232.10044073749557, 758.3256206364797)","(989.6159928280133, 896.2718682824458)","(270.85401661118794, 278.76933836138573)","(776.3097355455458, 339.42550362347)","(46.194242658592, 187.80921487911627)","(1252.2545900212197, 429.5655925075012)"
1062.0,"(238.66375546150843, 214.4517013504949)","(1213.2601869000268, 355.77385405896115)","(1122.6394880182565, 468.3440673669549)","(1113.0779572031438, 115.77279619859235)","(232.1599385338081, 758.2989925332973)","(989.6629128638732, 896.2955089410335)","(271.09334920958634, 278.84158728763293)","(776.1817049567362, 339.640231750014)","(46.28871339205182, 188.04067822506886)","(1252.4039372811808, 429.76608040225324)"
1063.0,"(238.884560422445, 214.56894114419055)","(1213.0421937017386, 355.8962426429877)","(1122.4006484036179, 468.41792966098427)","(1112.9127085111497, 115.58519857122386)","(232.21913884113906, 758.2724975706309)","(989.7095982995538, 896.3190313963283)","(271.3326818079847, 278.9138362138802)","(776.0536743679266, 339.854959876558)","(46.38318412551163, 188.27214157102145)","(1252.553284541142, 429.96656829700527)"
1064.0,"(239.10536538338155, 214.6861809378862)","(1212.8242005034504, 356.0186312270143)","(1122.1618087889792, 468.49179195501364)","(1112.747459819156, 115.39760094385537)","(232.27804314693336, 758.2461350827778)","(989.756050308056, 896.3424362393467)","(271.5720144063831, 278.98608514012744)","(775.9256437791171, 340.069688003102)","(46.47765485897145, 188.50360491697404)","(1252.702631801103, 430.1670561917573)"
1065.0,"(239.32617034431811, 214.80342073158187)","(1212.6062073051621, 356.14101981104085)","(1121.9229691743406, 468.565654249043)","(1112.5822111271618, 115.21000331648688)","(232.3366529311987, 758.2199044073639)","(989.8022700565158, 896.36572405815)","(271.8113470047815, 279.05833406637464)","(775.7976131903075, 340.284416129646)","(46.57212559243126, 188.73506826292663)","(1252.8519790610642, 430.3675440865093)"
1066.0,"(239.54697530525468, 214.92066052527753)","(1212.3882141068739, 356.2634083950674)","(1121.684129559702, 468.6395165430724)","(1112.416962435168, 115.02240568911839)","(232.3949696665427, 758.193804885327)","(989.8482587062332, 896.3888954378592)","(272.0506796031799, 279.1305829926219)","(775.669582601498, 340.49914425619)","(46.66659632589108, 188.96653160887922)","(1253.0013263210253, 430.56803198126136)"
1067.0,"(239.76778026619124, 215.0379003189732)","(1212.1702209085856, 356.385796979094)","(1121.4452899450632, 468.71337883710174)","(1112.251713743174, 114.8348080617499)","(232.45299481821, 758.1678358609004)","(989.894017412702, 896.41195096067)","(272.2900122015783, 279.2028319188691)","(775.5415520126884, 340.713872382734)","(46.76106705935089, 189.1979949548318)","(1253.1506735809864, 430.7685198760134)"
1068.0,"(239.9885852271278, 215.15514011266885)","(1211.9522277102974, 356.50818556312055)","(1121.2064503304246, 468.7872411311311)","(1112.08646505118, 114.6472104343814)","(232.51072984411894, 758.1419966815959)","(989.9395473256385, 896.4348912058666)","(272.5293447999767, 279.27508084511635)","(775.4135214238788, 340.928600509278)","(46.85553779281071, 189.4294583007844)","(1253.3000208409476, 430.9690077707654)"
